,Title,Star_1,Star_2,Star_3,Star_4,Genre_1,Genre_2,Genre_3,Release Year,IMDb Rating,Director_Name,Runtime
318,Kambakkht Ishq,Akshay Kumar, Kareena Kapoor Khan, Sylvester Stallone, Whoopi Goldberg,Comedy, Drama, Romance,2009.0,3.9,Sabbir Khan,142.0
323,The Lady from Shanghai,Rita Hayworth, Orson Welles, Everett Sloane, Glenn Anders,Crime, Drama, Mystery,1947.0,7.4,Orson Welles,87.0
324,Aata,Siddharth, Ileana D'Cruz, Sarath Babu, Brahmanandam,Romance, Comedy, Drama,2007.0,3.8,V. N. Aditya,138.0
325,It’s Time To Go!,Dilip Prabhavalkar, Rohini Hattangadi, Bhagyashree Limaye, Shivraj Waichal,Drama,unknown,unknown,2021.0,0.0,Ananth Narayan Mahadevan,90.0
329,What makes Albert Pinto angry?,Manav Kaul, Nandita Das, Saurabh Shukla, Kishore Kadam,Crime, Drama,unknown,2019.0,4.5,Soumitra Ranade,94.0
331,Aata Pita,Bharat Jadhav, Ashwini Apte, Sanjay Narvekar, Satish Phulekar,Comedy, Drama,unknown,2010.0,6.0,Uttong Shelar,125.0
333,Malli Malli Idhi Rani Roju,Sharwanand, Nithya Menen, Pavitra Lokesh, Pavani Gangireddy,Romance, Drama, Comedy,2015.0,6.8,Kranthi Madhav,139.0
334,Anukokunda Oka Roju,Charmy Kaur, Jagapati Babu, Shashank, Harshavardhan,Thriller, Mystery, Action,2005.0,5.773,Chandra Sekhar Yeleti,145.0
336,Bhale Manchi Roju,Sudheer Babu, Wamiqa Gabbi, Dhanya Balakrishna, Chaitanya Krishna,Comedy, Drama, Crime,2015.0,8.0,Sriram Adittya,90.0
339,Malli Pelli,Naresh, Pavitra Lokesh, Jayasudha, Sarath Babu,Family, Drama, Comedy,2023.0,8.0,Lucky Bezawada,131.0
344,Richie Gadi Pelli,S. K. Sathya, Chandana Raj, Naveen Neni, Praneeta Patnaik,Comedy, Drama,unknown,2023.0,0.0,K. S. Hemraj,114.0
347,Meet the Parents,Ben Stiller, Robert De Niro, Teri Polo, Blythe Danner,Comedy, Romance, Action,2000.0,6.678,Jay Roach,108.0
352,Bamma Maata Bangaru Baata,Bhanumathi, Rajendra Prasad, Gautami Tadimalla, Nutan Prasad,Comedy, Drama,unknown,1989.0,7.0,Rajashekar,148.0
354,Avengers: Endgame,Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth,Adventure, Sci-Fi, Action,2019.0,8.257,Anthony Russo,181.0
355,The Avengers,Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth,Sci-Fi, Action, Adventure,2012.0,7.713,Brian Relyea,143.0
356,Avengers: Infinity War,Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans,Adventure, Action, Sci-Fi,2018.0,8.251,Alexander Witt,149.0
357,Avengers: Age of Ultron,Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans,Action, Adventure, Sci-Fi,2015.0,7.273,Paula Casarin,141.0
358,The Avengers,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,unknown,unknown
359,Avengers Assemble,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,unknown,unknown
360,The Batman,Robert Pattinson, Zoë Kravitz, Paul Dano, Jeffrey Wright,Crime, Mystery, Thriller,2022.0,7.694,Emily Thomas,177.0
361,Batman,Michael Keaton, Jack Nicholson, Kim Basinger, Michael Gough,Fantasy, Action, Crime,1989.0,7.227,Tim Burton,126.0
362,Batman Begins,Christian Bale, Liam Neeson, Katie Holmes, Michael Caine,Action, Crime, Drama,2005.0,7.704,Christopher Nolan,140.0
363,Batman,Teri Garr, Vincent Price, Carolyn Jones, Joan Collins,Action, Crime, Fantasy,1966.0,0.0,unknown,25.0
364,Batman & Robin,George Clooney, Arnold Schwarzenegger, Chris O'Donnell, Uma Thurman,Sci-Fi, Action, Fantasy,1997.0,4.3,William M. Elvin,125.0
365,Batman Returns,Michael Keaton, Danny DeVito, Michelle Pfeiffer, Christopher Walken,Action, Fantasy, Superhero,1992.0,6.921,Tim Burton,126.0
366,Batman The Animated Series,Kevin Conroy, Loren Lester, Efrem Zimbalist Jr.,unknown,Animation, Action, Adventure,1992.0,8.16667,unknown,90.0
367,Batman Forever,Val Kilmer, Tommy Lee Jones, Jim Carrey, Nicole Kidman,Action, Crime, Fantasy,1995.0,5.415,William M. Elvin,121.0
368,Pyaar Ka Punchnama,Kartik Aaryan, Raayo S. Bakhirta, Divyendu Sharma, Nushrratt Bharuccha,Drama, Comedy, Romance,2011.0,6.822,Luv Ranjan,149.0
374,Thoda Pyaar Thoda Magic,Rani Mukerji, Saif Ali Khan, Ameesha Patel, Rishi Kapoor,Drama, Comedy, Family,2008.0,5.0,Kunal Kohli,145.0
375,De De Pyaar De,Ajay Devgn, Tabu, Rakul Preet Singh, Jimmy Shergill,Romance, Comedy, Drama,2019.0,6.0,Akiv Ali,135.0
376,Tu Jhoothi Main Makkaar,Ranbir Kapoor, Shraddha Kapoor, Dimple Kapadia, Boney Kapoor,Comedy, Romance,unknown,2023.0,1.0,Luv Ranjan,90.0
377,Brahmāstra Part One: Shiva,Ranbir Kapoor, Alia Bhatt, Mouni Roy, Amitabh Bachchan,Fantasy, Action, Adventure,2022.0,6.443,Ayan Mukerji,168.0
381,Animal,Ranbir Kapoor, Rashmika Mandanna, Anil Kapoor, Bobby Deol,Action, Crime, Drama,2023.0,6.543,Sandeep Reddy Vanga,201.0
382,Animal Control,Joel McHale, Fiona Gubelmann, Vella Lovell, Grace Palmer,Action, Comedy,unknown,2023.0,0.0,unknown,unknown
383,Animal Kingdom,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,unknown,unknown
384,The Animal Kingdom,Romain Duris, Paul Kircher, Adèle Exarchopoulos, Tom Mercier,Sci-Fi, Adventure, Drama,2023.0,7.078,Mahaut Pellerin,127.0
385,Animal House,John Belushi, Tim Matheson, John Vernon, Verna Bloom,Comedy, Action,unknown,1978.0,6.996,Clifford C. Coleman,109.0
386,Animal Kingdom,Ben Mendelsohn, Joel Edgerton, Guy Pearce, Luke Ford,Crime, Drama, Action,2010.0,6.788,David Michôd,113.0
387,The Animal,Rob Schneider, Colleen Haskell, John C. McGinley, Ed Asner,Comedy, Action, Sci-Fi,2001.0,5.143,Jeff Gourson,84.0
388,Animal Factory,Willem Dafoe, Edward Furlong, Danny Trejo, Mark Boone Junior,Crime, Drama, Action,2000.0,6.3,Steve Buscemi,94.0
389,Kabhi Khushi Kabhie Gham,Shah Rukh Khan, Amitabh Bachchan, Hrithik Roshan, Kajol,Comedy, Drama, Action,2001.0,7.735,Karan Johar,209.0
390,Kabhi Haan Kabhi Naa,Shah Rukh Khan, Suchitra Krishnamoorthi, Deepak Tijori, Satish Shah,Comedy, Drama, Music,1994.0,6.8,Vijay Krishna Acharya,158.0
391,Kabhi Alvida Naa Kehna,Shah Rukh Khan, Rani Mukerji, Preity Zinta, Abhishek Bachchan,Drama, Romance,unknown,2006.0,6.0,Tarun Mansukhani,193.0
392,Kabhi Kabhie,Amitabh Bachchan, Shashi Kapoor, Rishi Kapoor, Rakhee Gulzar,Drama, Romance, Action,1976.0,6.188,Yash Chopra,177.0
397,Dhilluku Dhuddu,Santhanam, Anchal Singh, Karunas, Rajendran,Comedy, Horror,unknown,2016.0,4.8,Zion,133.0
401,Kal Ho Naa Ho,Shah Rukh Khan, Preity Zinta, Saif Ali Khan, Jaya Bachchan,Comedy, Drama, Romance,2003.0,7.461,Arjun Kapoor,187.0
403,Lakshmi,Monali Thakur, Satish Kaushik, Ram Kapoor, Nagesh Kukunoor,Drama,unknown,unknown,2014.0,6.5,Nagesh Kukunoor,115.0
407,Namo Bhoothathma 2,Komal Kumar, Lekha Chandra, Monika, Govinde Gowda,Horror, Comedy,unknown,2023.0,0.0,unknown,90.0
411,Spider-Man: Homecoming,Michael Keaton, Tom Holland, Marisa Tomei, Robert Downey Jr.,Action, Adventure, Sci-Fi,2017.0,7.339,Kerry Lyn McKissick,133.0
412,Petta,Rajinikanth, Vijay Sethupathi, Nawazuddin Siddiqui, Bobby Simha,Drama, Action,unknown,2019.0,7.2,Karthik Subbaraj,172.0
414,Pudhupettai,Dhanush, Sneha, N. Azhagamperumal, Sonia Agarwal,Action, Drama, Crime,2006.0,7.7,Selvaraghavan,179.0
416,Agni Pankh,Jimmy Shergill, Sameer Dharmadhikari, Rahul Dev, Shamita Shetty,Action, Drama, Romance,2004.0,7.0,Sanjeev Puri,90.0
417,Agni Pareeksha,Amol Palekar, Parikshit Sahni, Rameshwari,unknown,Crime, Drama,unknown,1981.0,6.0,unknown,130.0
419,Agni Sakshi,Nana Patekar, Jackie Shroff, Manisha Koirala, Divya Dutta,Drama, Thriller, Musical,1996.0,6.75,Partho Ghosh,142.0
423,Ramaleela,Dileep, Kalabhavan Shajon, Radhika Sarathkumar, Prayaga Martin,Thriller, Drama,unknown,2017.0,6.5,Arun Gopy,158.0
429,Jai Lava Kusa,N.T. Rama Rao Jr., Nivetha Thomas, Raashi Khanna, Ronit Roy,Action, Thriller, Drama,2017.0,6.4,Bobby Kolli,150.0
444,Naa Nuvve,Tamanna Bhatia, Kalyan Ram, Vennela Kishore, Posani Krishna Murali,Romance, Comedy,unknown,2018.0,8.0,Jayendra,125.0
445,Bāhubali: The Beginning,Prabhas, Rana Daggubati, Tamannaah Bhatia, Anushka Shetty,Action, Adventure, Fantasy,2015.0,7.555,Ashwin Gangaraju,159.0
446,Bāhubali 2: The Conclusion,Prabhas, Rana Daggubati, Sathyaraj, Anushka Shetty,Action, Drama, Fantasy,2017.0,7.2,Lee Whittaker,168.0
447,Baahubali: The Lost Legends,Viraj Adhav, Manoj Pandey, Manini Mishra, Manini M. Mishra,Animation, Action, Adventure,2017.0,7.4,unknown,23.0
448,Sri Bharatha Baahubali,Chikkanna, Achyuth Kumar, Manju Mandavya, Sarah Harish,Comedy, Romance,unknown,2020.0,0.0,Manju Mandavya,164.0
453,Orey Bujjiga,Raj Tarun, Malavika Nair, Heeba Patel, Posani Krishna Murali,Drama, Romance, Action,2020.0,6.0,Vijay Kumar Konda,164.0
456,The Adventures of Milo and Otis,Dudley Moore, Kyoko Koizumi, Milo, Otis,Adventure, Drama, Family,1986.0,6.6,Masanori Hata,90.0
457,Mushrooms,Paoli Dam, Tómas Lemarquis, Sudipto Mukherjee, Sumeet Thakur,Drama,unknown,unknown,2013.0,4.1,Vimukthi Jayasundara,90.0
458,Chatrapathi,Bellamkonda Srinivas, Nushrratt Bharuccha, Sharad Kelkar, Bhagyashree,Action, Drama,unknown,2023.0,0.0,V. V. Vinayak,124.0
459,Chatrapathi,Prabhas, Shriya Saran, Bhanupriya, Pradeep Ram Singh Rawat,Drama, Action,unknown,2005.0,5.8,S.S. Rajamouli,158.0
461,Student Services,Déborah François, Mathieu Demy, Alain Cauchi, Benjamin Siksou,Drama, Action, Romance,2010.0,5.126,Emmanuelle Bercot,101.0
462,Student of the Year,Sidharth Malhotra, Alia Bhatt, Varun Dhawan, Rishi Kapoor,Comedy, Drama, Music,2012.0,5.8,Karan Johar,146.0
463,Student Bodies,Kristen Riter, Matthew Goldsby, Jerry Belson, Joe Flood,Comedy, Horror, Mystery,1981.0,5.7,Mickey Rose,86.0
464,Student of the Year 2,Tiger Shroff, Ananya Pandey, Tara Sutaria, Aditya Seal,Romance, Comedy, Drama,2019.0,4.2,Punit Malhotra,146.0
465,The Student,Viktoriya Isakova, Petr Skvortsov, Yuliya Aug, Aleksandra Revenko,Drama,unknown,unknown,2016.0,6.5,Kirill Serebrennikov,118.0
466,Student Body,Montse Hernandez, Cheyenne Haynes, Anthony Keyvan, Harley Quinn Smith,Horror, Thriller, Action,2022.0,4.5,Lee Ann Kurr,88.0
467,The Student,Blake Michael, Alicia Leigh Willis, Trevor St. John, Lindsay Hartley,Thriller,unknown,unknown,2017.0,6.1,Steven R. Monroe,90.0
468,The Student Nurses,Elaine Giftos, Karen Carlson, Brioni Farrell, Barbara Leigh,Drama,unknown,unknown,1970.0,5.3,Stephanie Rothman,89.0
469,The Big Boss,Bruce Lee, Maria Yi, James Tien Chuen, Marilyn Bautista,Action, Crime, Drama,1971.0,7.14,Chih Yao-Chang,99.0
472,Big Time Gambling Boss,Koji Tsuruta, Sumiko Fuji, Hiroko Sakuramachi, Hiroshi Nawa,Drama, Crime, Thriller,1968.0,6.9,Kōsaku Yamashita,95.0
475,The Big Boss,Otto Kruger, Gloria Dickson, John Litel, Don Beddoe,Drama, Crime,unknown,1941.0,5.5,Charles Barton,70.0
477,Jai Bhim,Suriya, Lijomol Jose, Baby Joshika Maya, K. Manikandan,Crime, Drama, Mystery,2021.0,7.467,T. J. Gnanavel,164.0
478,I Want to Live!,Susan Hayward, Simon Oakland, Virginia Vincent, Theodore Bikel,Crime, Drama, Action,1958.0,6.915,Robert Wise,120.0
479,Jailangkung: Sandekala,Syifa Hadju, Dwi Sasono, Titi Kamal, Giulio Parengkuan,Horror,unknown,unknown,2022.0,7.0,Kimo Stamboel,92.0
480,The Available Wife,Terayle Hill, Roger Guenveur Smith, Clifton Powell, KJ Smith,Drama, Action,unknown,2020.0,4.0,Jamal Hill,100.0
481,Naa Saami Ranga,Nagarjuna Akkineni, Allari Naresh, Raj Tarun, Ashika Ranganath,Action,unknown,unknown,2024.0,1.0,Vijay Binni,90.0
485,Gaami,Vishwak Sen, Mohammad Samad, Harika Pedada, Chandini Chowdary,Adventure, Thriller, Sci-Fi,2024.0,7.0,Abhilash J.,147.0
487,Rangasthalam,Ram Charan, Samantha Akkineni, Aadhi Pinisetty, Jagapati Babu,Action, Drama,unknown,2018.0,6.6,Sukumar,179.0
489,Beyond the Reef,Dayton Ka'ne, Maren Jensen, Keahi Farden, Kathleen Swan,Romance, Adventure,unknown,1979.0,5.5,Frank C. Clarke,91.0
490,Maha Samudram,Siddharth, Sharwanand, Aditi Rao Hydari, Anu Emmanuel,Drama, Action,unknown,2021.0,6.3,Venkat Nag,152.0
491,Maha,Hansika Motwani, Manasvi Kottachi, Silambarasan, Srikanth,Crime, Mystery, Thriller,2022.0,1.0,Mani Maran Seenivasan,109.0
492,Maharani Kottai,Richard Rishi, Senthil, Ganja Karuppu, Powerstar Srinivasan,Drama,unknown,unknown,2015.0,0.5,unknown,unknown
493,The Lord of the Rings: The Return of the King,Elijah Wood, Sean Astin, Viggo Mortensen, Ian McKellen,Adventure, Fantasy, Action,2003.0,8.477,Peter Jackson,201.0
495,Dunki,Shah Rukh Khan, Taapsee Pannu, Vikram Kochhar, Anil Grover,Comedy, Drama, Action,2023.0,6.292,Rajkumar Hirani,159.0
496,Dunkirk,Fionn Whitehead, Tom Hardy, Mark Rylance, Kenneth Branagh,War, Action, Drama,2017.0,7.455,Steve Gehrke,107.0
497,Dunkirk,John Mills, Richard Attenborough, Bernard Lee, Robert Urquhart,Drama, War, Action,1958.0,6.7,Leslie Norman,134.0
502,Too Hot to Handle,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,unknown,unknown
503,Too Hot to Handle,Jayne Mansfield, Leo Genn, Karlheinz Böhm, Danik Patisson,Crime, Drama, Romance,1960.0,4.2,Terence Young,90.0
510,"Lust, Caution",Tony Leung Chiu-Wai, Tang Wei, Joan Chen, Leehom Wang,Action, Drama, Romance,2007.0,7.1,Ang Lee,156.0
511,All Things Fair,Johan Widerberg, Marika Lagercrantz, Tomas von Brömssen, Karin Huldt,Drama, Romance, War,1995.0,6.533,Bo Widerberg,125.0
512,Teen Lust,Cary Elwes, Emmanuelle Vaugier, Kristin Bauer, Jon Cor,Comedy, Horror, Action,2014.0,4.8,Blaine Thurier,80.0
513,Lust for a Vampire,Ralph Bates, Barbara Jefford, Suzanna Leigh, Michael Johnson,Horror,unknown,unknown,1971.0,6.6,Jimmy Sangster,91.0
515,Lust for Life,Kirk Douglas, Anthony Quinn, James Donald, Pamela Brown,Drama, Action, Biography,1956.0,7.2,Vincente Minnelli,122.0
516,Lust Stories,Radhika Apte, Akash Thosar, Randeep Jha, Bhumi Pednekar,Drama, Romance,unknown,2018.0,6.2,Dibakar Banerjee,120.0
517,Lust Stories 2,Neena Gupta, Mrunal Thakur, Tamannaah Bhatia, Kajol,Drama, Romance, Action,2023.0,5.544,R. Balki,132.0
523,Kisah Tanah Jawa: Pocong Gundul,Deva Mahenra, Della Dartyan, Iwa K, Muhammad Abe Baasyin,Horror,unknown,unknown,2023.0,1.0,Awi Suryadi,90.0
526,Rahenge Sadaa Gardish Mein Taare,Rajesh Khera, Sonali Kulkarni, Arif Zakaria,unknown,Drama,unknown,unknown,2017.0,5.0,Saif Hyder Hasan,70.0
527,Stranger Things - Season 1,Millie Bobby Brown, Finn Wolfhard, Noah Schnapp, Caleb McLaughlin,Horror, Sci-Fi,unknown,2016.0,7.7,Matt Duffer,90.0
528,The Stranger,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,unknown,unknown
529,Stranger in the Woods,Holly Kenney, Brendin Brown, Teddy Spencer, Paris Nicole,Horror, Thriller,unknown,2024.0,5.2,Adam Newacheck,82.0
531,The Stranger,Joel Edgerton, Sean Harris, Jada Alberts, Fletcher Humphrys,Crime, Thriller,unknown,2022.0,3.5,Thomas M. Wright,117.0
532,Pirates of the Caribbean: On Stranger Tides,Johnny Depp, Penélope Cruz, Geoffrey Rush, Ian McShane,Adventure, Action, Fantasy,2011.0,6.5,Peter Kohn,137.0
533,Stranger Than Fiction,Will Ferrell, Maggie Gyllenhaal, Dustin Hoffman, Emma Thompson,Comedy, Drama, Fantasy,2006.0,7.27,James Giovannetti Jr.,113.0
534,Stranger by the Lake,Pierre Deladonchamps, Christophe Paou, Patrick d'Assumçao, Jérôme Chappatte,Drama, Thriller, Romance,2013.0,6.3,Alain Guiraudie,97.0
535,Virus,Jamie Lee Curtis, William Baldwin, Donald Sutherland, Joanna Pacula,Horror, Action, Sci-Fi,1999.0,5.4,John Bruno,99.0
536,Night of the Zombies,Margit Evelyn Newton, Franco Garofalo, Selan Karay, José Gras,Horror, Sci-Fi, Thriller,1980.0,5.3,Claudio Fragasso,99.0
537,Virupaksha,Sai Dharam Tej, Samyuktha, Brahmaji, Rajiv Kanakala,Mystery, Thriller, Horror,2023.0,7.357,Karthik Varma Dandu,146.0
538,Virus,Glenn Ford, Robert Vaughn, Masao Kusakari, Henry Silva,Horror, Sci-Fi, Drama,1980.0,6.2,Kinji Fukasaku,156.0
539,Virus:32,Daniel Hendler, Paula Silva, Franco Rilla, Sofía González,Horror, Action,unknown,2022.0,6.8,Santiago Turell,90.0
540,Virunga,André Bauma, Emmanuel de Merode, Mélanie Gouby, Rodrigue Mugaruka Katembo,Documentary, War,unknown,2014.0,8.0,Orlando von Einsiedel,90.0
544,Kanam,Sharwanand, Ritu Varma, Amala Akkineni, Nassar,Drama, Fantasy, Sci-Fi,2022.0,1.0,Shree Karthick,90.0
546,Oka!,Will Yun Lee, Haviland Morris, Peter Riegert, Kris Marshall,Drama,unknown,unknown,2011.0,4.3,Lavinia Currier,105.0
547,Sex Education,Cesar Rose, Sonny Davon, Anibal Garces, Dimitri Vega,Comedy, Drama,unknown,2019.0,10.0,unknown,45.0
548,Sex/Life,Sarah Shahi, Mike Vogel, Adam Demos,unknown,Comedy, Drama, Romance,2021.0,6.0,unknown,unknown
549,Sex and the City,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,unknown,unknown
550,How to Have Sex,Mia McKenna-Bruce, Lara Peake, Enva Lewis, Samuel Bottomley,Drama, Action,unknown,2023.0,6.429,Molly Manning Walker,91.0
551,Sex Tape,Cameron Diaz, Jason Segel, Rob Corddry, Ellie Kemper,Comedy, Action, Romance,2014.0,5.408,Jake Kasdan,94.0
552,The Sex Lives of College Girls,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,unknown,unknown
553,Sex Drive,Josh Zuckerman, Amanda Crew, Clark Duke, James Marsden,Comedy, Adventure, Romance,2008.0,6.356,Sean Anders,109.0
554,Game of Thrones,Emilia Clarke, Peter Dinklage, Kit Harington,unknown,Action, Adventure, Drama,2011.0,8.2,unknown,90.0
555,Game of Thrones,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,unknown,unknown
557,Game of Thrones: The Last Watch,Kit Harington, Emilia Clarke, Nikolaj Coster-Waldau, Gwendoline Christie,Documentary, TV Movie,unknown,2019.0,7.1,Jeanie Finlay,115.0
558,House of the Dragon,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,unknown,unknown
559,Game of Thrones - Conquest & Rebellion: An Animated History of the Seven Kingdoms,Nikolaj Coster-Waldau, Aidan Gillen, Sophie Turner, Conleth Hill,Animation, Fantasy, War,2017.0,8.1,unknown,45.0
560,El Camino: A Breaking Bad Movie,Aaron Paul, Jesse Plemons, Charles Baker, Matt Jones,Crime, Drama, Thriller,2019.0,6.955,Melissa Bosco,123.0
564,The Bad News Bears in Breaking Training,William Devane, Clifton James, Jackie Earle Haley, Jimmy Baio,Comedy, Family, Action,1977.0,6.0,Michael Pressman,100.0
567,Dark Waters,Mark Ruffalo, Anne Hathaway, Tim Robbins, Bill Pullman,Drama, Thriller, Action,2019.0,7.521,Todd Haynes,127.0
568,Godfather of Harlem,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,unknown,unknown
569,The Godfather,Marlon Brando, Al Pacino, James Caan, Robert Duvall,Drama, Crime, Action,1972.0,8.695,Francis Ford Coppola,175.0
570,The Godfather Part II,Al Pacino, Robert Duvall, Diane Keaton, Robert De Niro,Drama, Crime, Action,1974.0,8.587,Francis Ford Coppola,202.0
571,The Godfather Part III,Al Pacino, Diane Keaton, Talia Shire, Andy García,Crime, Drama, Thriller,1990.0,7.427,K.C. Hodenfield,162.0
572,GodFather,Chiranjeevi, Biju Menon, Nayanthara, Salman Khan,Action, Drama,unknown,2022.0,1.0,Mohan Raja,90.0
575,Tokyo Godfathers,Aya Okamoto, Yoshiaki Umegaki, Tohru Emori, Satomi Korogi,Animation, Drama, Comedy,2003.0,7.905,Shougo Furuya,93.0
576,Miss. Shetty Mr. Polishetty,Anushka Shetty, Naveen Polishetty, Murli Sharma, Tulasi,Comedy, Drama, Romance,2023.0,6.4,Venu Palli,147.0
583,Major Crimes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,unknown,unknown
584,Major League,Tom Berenger, Charlie Sheen, Corbin Bernsen, Margaret Whitton,Comedy, Action, Sport,1989.0,6.894,Jerry Grandey,107.0
585,Major Payne,Damon Wayans, Karyn Parsons, William Hickey, Michael Ironside,Adventure, Comedy, Family,1995.0,6.368,Nick Castle,95.0
586,Major Dad,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,unknown,unknown
587,Major,Adivi Sesh, Sobhita Dhulipala, Saiee Manjrekar, Prakash Raj,Action, History, Drama,2022.0,1.0,Sashi Kiran Tikka,150.0
588,Major Dundee,Charlton Heston, Richard Harris, Jim Hutton, James Coburn,Western, Action, Adventure,1965.0,6.622,Cliff Lyons,125.0
589,Major League II,Charlie Sheen, Tom Berenger, Corbin Bernsen, Dennis Haysbert,Comedy, Sport,unknown,1994.0,5.5,David S. Ward,105.0
590,Shyam Singha Roy,Nani, Sai Pallavi, Krithi Shetty, Madonna Sebastian,Drama, Romance, Horror,2021.0,7.3,Rahul Sankrityan,157.0
591,Jab We Met,Shahid Kapoor, Kareena Kapoor Khan, Tarun Arora, Dara Singh,Drama, Comedy, Romance,2007.0,7.4,Imtiaz Ali,138.0
597,Brooklyn Nine-Nine,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,unknown,unknown
598,PK,Aamir Khan, Anushka Sharma, Sushant Singh Rajput, Saurabh Shukla,Comedy, Drama, Adventure,2014.0,7.706,Junaid Khan,153.0
599,P.K. and the Kid,Molly Ringwald, Paul Le Mat, Alex Rocco, Charles Hallahan,Drama,unknown,unknown,1987.0,5.0,Lou Lombardo,89.0
602,Love Today,Pradeep Ranganathan, Ivana, Akshaya Udhayakumar, Raveena Ravi,Comedy, Romance, Drama,2022.0,7.152,Pradeep Ranganathan,154.0
605,Love Today,Divya Khosla Kumar,unknown,unknown,unknown,unknown,unknown,unknown,2004.0,0.0,unknown,90.0
609,Krishna,Suniel Shetty, Karisma Kapoor, Shakti Kapoor, Tinnu Anand,Action, Drama, Romance,1996.0,3.0,Deepak S. Shivdasani,156.0
611,Krishna Cottage,Sohail Khan, Isha Koppikar, Rati Agnihotri, Hiten Tejwani,Thriller, Horror, Mystery,2004.0,5.8,Santram Varma,124.0
612,Krishna and His Leela,Sidhu Jonnalagadda, Shraddha Srinath, Seerat Kapoor, Shalini Vadnikatti,Comedy, Romance,unknown,2020.0,4.9,Ravikanth Perepu,125.0
613,Chhota Bheem: The Rise of Kirmada,unknown,unknown,unknown,unknown,Animation,unknown,unknown,2012.0,8.0,Rajiv Chilaka,68.0
617,"Hare Krishna! The Mantra, the Movement and the Swami Who Started It All",Mahatma Gandhi, George Harrison, Woody Allen, Boy George,Documentary, Action,unknown,2017.0,8.8,John Griesser,90.0
618,Dear Zindagi,Alia Bhatt, Shah Rukh Khan, Ali Zafar, Kunal Kapoor,Drama, Romance, Action,2016.0,7.072,Rukhshida David,151.0
619,Zindagi Zindabaad,Ninja, Mandy Takhar, Sukhdeep Sukh, Sardar Sohi,Action, Drama, History,2023.0,0.0,Nasir Zaman,90.0
620,Zindagi Kitni Haseen Hay,Feroze Khan, Sajal Ali, Nabeel Zuberi, Nayyar Ejaz,Romance, Drama, Adventure,2016.0,7.7,Anjum Shahzad,150.0
622,Zindagi inShort,Aisha Ahmed, Deepak Dobriyal, Divya Dutta, Neena Gupta,Comedy, Drama,unknown,2020.0,5.0,Vijayeta Kumar,113.0
623,Circus of Life,Arif Hassan, Samiya Mumtaz, Eman Suleman, Ali Kureshi,Drama, Thriller, Family,2020.0,9.3,Sarmad Sultan Khoosat,138.0
